city_ru;city_en
МалаяВишера;SmallVishera
Малгобек;Malgobek
Малмыж;Malmyzh
Малоархангельск;Maloarkhangelsk
Малоярославец;Maloyaroslavets
Мамадыш;Mamadysh
Мамоново;Mamonovo
Мантурово;Manturovo
Мариинск;Mariinsk
МариинскийПосад;MariinskyPosad
Маркс;Marx
Махачкала;Makhachkala
Мглин;Mglin
Мегион;Megion
Медвежьегорск;Medvezhegorsk
Медногорск;Mednogorsk
Медынь;Medyn
Межгорье;Mezhgorye
Междуреченск;Mezhdurechensk
Мезень;Mezen
Меленки;Melenki
Мелеуз;Meleuz
Менделеевск;Mendeleevsk
Мензелинск;Menzelinsk
Мещовск;Meshchovsk
Миасс;Miass
Микунь;Mikun
Миллерово;Miller's
МинеральныеВоды;MineralWaters
Минусинск;ofMinusinsk
Миньяр;Minyar
Мирный;Mirny
Михайлов;Mikhailov
Михайловка;Mikhailovka
Михайловск;Mikhailovsk
Мичуринск;Michurinsk
Могоча;Mogocha
Можайск;Mozhaisk
Можга;Maybe
Моздок;Mozdok
Мончегорск;Monchegorsk
Морозовск;Morozovsk
Моршанск;Morshansk
Мосальск;Mosalsk
Москва;Moscow
Муравленко;Muravlenko
Мураши;Goosebumps
Мурино;Murino
Мурманск;Murmansk
Муром;Murom
Мценск;Mtsensk
Мыски;Myski
Мытищи;Mytishchi
Мышкин;Myshkin
НабережныеЧелны;NaberezhnyeChelny
Навашино;Navashino
Наволоки;Pillowcases
Надым;Nadym
Назарово;Nazarovo
Назрань;Nazran
Называевск;Zyvaevsk
Нальчик;Nalchik
Нариманов;Narimanov
Нарткала;Narthcala
Нарьян-Мар;Naryan-Mar
Находка;Thefind
Невель;Nevel
Невельск;Nevelsk
Невинномысск;Nevinnomyssk
Невьянск;Nevyansk
Нелидово;Nelidovo
Неман;Neman
Нерехта;Nerekhta
Нерчинск;Nerchinsk
Нерюнгри;Neryungri
Нестеров;Nesterov
Нефтегорск;Neftegorsk
Нефтекамск;Neftekamsk
Нефтекумск;Neftekumsk
Нефтеюганск;Nefteyugansk
Нея;Neya
Нижневартовск;Nizhnevartovsk
Нижнекамск;Nizhnekamsk
Нижнеудинск;Nizhneudinsk
НижниеСерги;LowerSergs
НижнийЛомов;NizhnyLomov
НижнийНовгород;NizhniyNovgorod
НижнийТагил;NizhnyTagil
НижняяСалда;NizhnyayaSalda
НижняяТура;LowerTour
Николаевск;Nikolaevsk
Николаевск-на-Амуре;Nikolaevsk-on-Amur
Никольск;Nikolsk
Никольское;Nikolskoye
НоваяЛадога;NovayaLadoga
НоваяЛяля;NewLala
Новоалександровск;Novoalexandrovsk
Новоалтайск;Novoaltaysk
Новоаннинский;Novoanninsky
Нововоронеж;Novovoronezh
Новодвинск;Novodvinsk
Новозыбков;Novozybkov
Новокубанск;Novokubansk
Новокузнецк;Novokuznetsk
Новокуйбышевск;Novokuibyshevsk
Новомичуринск;Novomichurinsk
Новомосковск;Novomoskovsk
Новопавловск;Novopavlovsk
Новоржев;Novorzhev
Новороссийск;Novorossiysk
Новосибирск;Novosibirsk
Новосиль;Novosil
Новосокольники;Novosokolniki
Новотроицк;Novotroitsk
Новоузенск;Novouzensk
Новоульяновск;Novoulianovsk
Новоуральск;Novouralsk
Новохоперск;Novokhopersk
Новочебоксарск;Novocheboksarsk
Новочеркасск;Novocherkassk
Новошахтинск;Novoshakhtinsk
НовыйОскол;NovyOskol
НовыйУренгой;NovyUrengoy
Нолинск;Nolinsk
Норильск;Norilsk
Ноябрьск;November
Нурлат;Nurlat
Нытва;Nytva
Нюрба;Nyurba
Нягань;Nyagan
Нязепетровск;Nyazepetrovsk
Няндома;Nyandom
Облучье;Irradiation
Обнинск;Obninsk
Обоянь;Aboutme
Обь;Volume
Озерск;Ozersk
Озёры;Lakes
Октябрьск;October
Октябрьский;October
Окуловка;Okulovka
Олекминск;Olekminsk
Оленегорск;Olenegorsk
Олонец;Olonets
Омск;Omsk
Омутнинск;Omutninsk
Онега;Onega
Опочка;Opochka
Оренбург;Orenburg
Орлов;Eagles
Орск;Orsk
Орёл;Eagle
Оса;Wasp
Осинники;Aspenforests
Осташков;Ostashkov
Остров;Island
Островной;Island
Острогожск;Ostrogozhsk
Отрадное;Gratifying
Отрадный;Gratifying
Оха;Ohh
Оханск;Okhansk
Очер;Theessay
Павлово;Pavlovo
Павловск;Pavlovsk
ПавловскийПосад;PavlovskyPosad
Палласовка;Pallasovka
Партизанск;Partizansk
Певек;Pevek
Пенза;Penza
Первомайск;Pervomaisk
Первоуральск;Pervouralsk
Перевоз;Transportation
Пересвет;Peresvet
Переславль-Залесский;Pereslavl-Zalessky
Пермь;Perm
Пестово;Pestovo
ПетровВал;PetrovVal
Петровск;Petrovsk
Петровск-Забайкальский;Petrovsk-Zabaikalsky
Петрозаводск;Petrozavodsk
Петропавловск-Камчатский;Petropavlovsk-Kamchatsky
Петухово;Petukhovo
Петушки;Cockerels
Печора;Pechora
Печоры;Pechora
Пикалево;Pikalevo
Пионерский;Pioneer
Питкяранта;Pitcairn
Плавск;Plavsk
Пласт;Plast
Плес;ThePlesformation
Поворино;Povorino
Подольск;Podolsk
Подпорожье;Podporozhie
Покачи;Shakeit
Покров;Cover
Покровск;Pokrovsk
Полевской;Polevskoy
Полесск;Polessk
Полысаево;Polysaevo
ПолярныеЗори;PolarDawns
Полярный;Polar
Поронайск;Poronaisk
Порхов;Porkhov
Похвистнево;Pokhvistnevo
Почеп;Pochep
Починок;Repairs
Пошехонье;Poshonye
Правдинск;Pravdinsk
Приволжск;Privolzhsk
Приморск;Primorsk
Приморско-Ахтарск;Primorsko-Akhtarsk
Приозерск;Priozersk
Прокопьевск;Prokopyevsk
Пролетарск;Proletarsk
Протвино;Protvino
Прохладный;Cool
Псков;Pskov
Пугачев;Pugachev
Пудож;Pudozh
Пустошка;Wasteland
Пучеж;Abunch
Пушкино;Pushkino
Пущино;Pushchino
Пыталово;Pytalovo
Пыть-Ях;Pyt-Yah
Пятигорск;Pyatigorsk
Радужный;Raduzhny
Райчихинск;Raichikhinsk
Раменское;Ramenskoye
Рассказово;Rasskazovo
Ревда;Revda
Реж;Dir
Реутов;Reutov
Ржев;Rzhev
Родники;Springs
Рославль;Roslavl
Россошь;Rossosh
Ростов;Rostov
Ростов-на-Дону;Rostov-on-Don
Рошаль;Roshal
Ртищево;Rtishchevo
Рубцовск;Rubtsovsk
Рудня;Rudnya
Руза;Ruza
Рузаевка;Ruzaevka
Рыбинск;Rybinsk
Рыбное;Rybnoye
Рыльск;Rylsk
Ряжск;Ryazhsk
Рязань;Ryazan
Саки;Saki
Салават;Salavat
Салаир;Salair
Салехард;Salekhard
Сальск;Salsk
Самара;Samara
Санкт-Петербург;Saint-Petersburg
Саранск;Saransk
Сарапул;Sarapul
Саратов;Saratov
Саров;Sarov
Сасово;Sasovo
Сатка;Satka
Сафоново;Safonovo
Саяногорск;Sayanogorsk
Саянск;Sayansk
Светлогорск;Svetlogorsk
Светлоград;Svetlograd
Светлый;Light
Светогорск;Svetogorsk
Свирск;Svirsk
Свободный;Free
Себеж;Sebezh
Северо-Курильск;Severo-Kurilsk
Северобайкальск;Severobaikalsk
Северодвинск;Severodvinsk
Североморск;Severomorsk
Североуральск;Severouralsk
Северск;Seversk
Севск;Sevsk
Сегежа;Segezha
Сельцо;Thevillage
Семенов;Semyonov
Семикаракорск;Semikarakorsk
Семилуки;Semiluki
Сенгилей;Sengilei
Серафимович;Serafimovich
Сергач;Sergach
Сердобск;Serdobsk
Серов;Serov
Серпухов;Serpukhov
Сертолово;Sertolovo
Сибай;Sibai
Сим;Sim
Симферополь;Simferopol
Сковородино;Skovorodino
Скопин;Skopin
Славгород;Slavgorod
Славск;Slavsk
Славянск-на-Кубани;Slavyansk-on-Kuban
Сланцы;Slates
Слободской;Slobodskoy
Слюдянка;Slyudyanka
Смоленск;Smolensk
Снежинск;Snezhinsk
Снежногорск;Snezhnogorsk
Собинка;Sobinka
Советск;Sovetsk
Советск;Sovetsk
Советск;Sovetsk
СоветскаяГавань;SovetskayaGavan
Советский;Soviet
Сокол;Falcon
Солигалич;Soligalich
Соликамск;Solikamsk
Солнечногорск;Solnechnogorsk
Соль-Илецк;Sol-Iletsk
Сольвычегодск;Solvychegodsk
Сольцы;Soltsy
Сорочинск;Sorochinsk
Сорск;Sorsk
Сортавала;Sortavala
Сосенский;Sosenskiy
Сосновка;Sosnovka
Сосновоборск;Sosnovoborsk
СосновыйБор;PineForest
Сосногорск;Sosnogorsk
Сочи;Sochi
Спас-Деменск;Spas-Demensk
Спас-Клепики;Spas-Klepiki
Спасск;Spassk
Спасск-Дальний;Spassk-Dalny
Спасск-Рязанский;Spassk-Ryazansky
Среднеколымск;Srednekolymsk
Среднеуральск;Sredneuralsk
Сретенск;Sretensk
Ставрополь;Stavropol
СтараяКупавна;OldKupavna
СтараяРусса;StarayaRussa
Старица;Oxbow
Стародуб;Starodub
СтарыйКрым;OldCrimea
СтарыйОскол;StaryOskol
Стерлитамак;Sterlitamak
Стрежевой;Strezhevoy
Строитель;Builder
Струнино;Strunino
Ступино;Stupino
Суворов;Suvorov
Судак;Pikeperch
Суджа;Sudzha
Судогда;Onceuponatime
Суздаль;Suzdal
Сунжа;Sunja
Суоярви;Suoyarvi
Сураж;Surage
Сургут;Surgut
Суровикино;Surovikino
Сурск;Sursk
Сусуман;Susuman
Сухиничи;Sukhinichi
СухойЛог;DryLog
Сызрань;Syzran
Сыктывкар;Syktyvkar
Сысерть;Sysert
Сычевка;Sychevka
Сясьстрой;Syasstroy
Тавда;Tavda
Таганрог;Taganrog
Тайга;Taiga
Тайшет;Taishet
Талдом;Taldom
Талица;Talitsa
Тамбов;Tambov
Тара;Container
Тарко-Сале;Tarko-Sale
Таруса;Tarusa
Татарск;Tatarsk
Таштагол;Tashtagol
Тверь;Tver
Теберда;Teberda
Тейково;Teykovo
Темников;Temnikov
Темрюк;Temryuk
Терек;Terek
Тетюши;Tetyushi
Тимашевск;Timashevsk
Тихвин;Tikhvin
Тихорецк;Tikhoretsk
Тобольск;Tobolsk
Тогучин;Toguchin
Тольятти;Tolyatti
Томари;Tomari
Томмот;Tommot
Томск;Tomsk
Топки;Furnaces
Торжок;Torzhok
Торопец;Toropets
Тосно;It'sdisgusting
Тотьма;TheDarkness
Трехгорный;Trekhgorny
Троицк;Troitsk
Трубчевск;Trubchevsk
Туапсе;Tuapse
Туймазы;Tuimazy
Тула;Tula
Тулун;Tulun
Туран;Turan
Туринск;Turinsk
Тутаев;Tutaev
Тында;Tynda
Тырныауз;Tyrnyauz
Тюкалинск;Tyukalinsk
Тюмень;Tyumen
Уварово;Uvarovo
Углегорск;Uglegorsk
Углич;Uglich
Удачный;Successful
Удомля;Udomlya
Ужур;Horror
Узловая;Nodal
Улан-Удэ;Ulan-Ude
Ульяновск;Ulyanovsk
Унеча;Unecha
Урай;Hooray
Урень;Uren
Уржум;Urzhum
Урюпинск;Uryupinsk
Усинск;Usinsk
Усмань;Usman
Усолье;Usolye
Усолье-Сибирское;Usolye-Sibirskoye
Уссурийск;Ussuriysk
Усть-Джегута;Ust-Dzheguta
Усть-Илимск;Ust-Ilimsk
Усть-Катав;Ust-Katav
Усть-Кут;Ust-Kut
Усть-Лабинск;Ust-Labinsk
Устюжна;Ustyuzhna
Уфа;Ufa
Ухта;Ukhta
Учалы;Educationalinstitutions
Уяр;Uyar
Фатеж;Fatezh
Феодосия;Feodosia
Фокино;Fokino
Фролово;Frolovo
Фрязино;Fryazino
Фурманов;Furmanov
Хабаровск;Khabarovsk
Хадыженск;Khadyzhensk
Ханты-Мансийск;Khanty-Mansiysk
Харабали;Kharabali
Харовск;Kharovsk
Хасавюрт;Khasavyurt
Хвалынск;Khvalynsk
Хилок;Hilok
Химки;Khimki
Холм;Holm
Холмск;Kholmsk
Хотьково;Khotkovo
Цивильск;Tsivilsk
Цимлянск;Tsimlyansk
Циолковский;Tsiolkovsky
Чадан;Chadan
Чайковский;Tchaikovsky
Чапаевск;Chapaevsk
Чаплыгин;Chaplygin
Чебаркуль;Chebarkul
Чебоксары;Cheboksary
Чегем;Chegem
Чекалин;Chekalin
Челябинск;Chelyabinsk
Чердынь;Cherdyn
Черемхово;Cheremkhovo
Черепаново;Cherepanovo
Череповец;Cherepovets
Черкесск;Cherkessk
Чермоз;Chermoz
Черноголовка;Chernogolovka
Черногорск;Chernogorsk
Чернушка;Chernushka
Черняховск;Chernyakhovsk
Чехов;Chekhov
Чистополь;Chistopol
Чита;Chita
Чкаловск;Chkalovsk
Чудово;Chudovo
Чулым;Chulym
Чусовой;Chusovoy
Чухлома;Chukhloma
Шагонар;Shagonar
Шадринск;Shadrinsk
Шали;Shawls
Шарыпово;Sharypovo
Шарья;Sharya
Шахты;
Шахунья;ShakhunyaMines
Шацк;Shatsk
Шебекино;Shebekino
Шелехов;Shelekhov
Шенкурск;Shenkursk
Шилка;Shilka
Шимановск;Shimanovsk
Шиханы;Shikhany
Шлиссельбург;Shlisselburg
Шумерля;Shumerlya
Шумиха;Thehype
Шуя;Shuya
Щекино;Shchekino
Щелкино;Shchelkino
Щигры;Videogames
Щучье;Shchuchye
Щёлково;Shchelkovo
Электрогорск;Elektrogorsk
Электросталь;Electricsteel
Электроугли;Electriccoal
Элиста;Elista
Энгельс;Engels
Эртиль;Ertil
Югорск;Yugorsk
Южа;South
Южно-Сахалинск;Yuzhno-Sakhalinsk
Южно-Сухокумск;Yuzhno-Sukhokumsk
Южноуральск;Yuzhnouralsk
Юрга;Jurga
Юрьев-Польский;YurievisaPolishYurievite
Юрьевец;Yuryevets
Юрюзань;Yuryuzan
Юхнов;Yukhnov
Ядрин;Yadrin
Якутск;Yakutsk
Ялта;Yalta
Ялуторовск;Yalutorovsk
Янаул;Yanaul
Яранск;Yaransk
Яровое;Yarovoye
Ярославль;Yaroslavl
Ярцево;Yartsevo
Ясногорск;Yasnogorsk
Ясный;Clear
Яхрома;Yakhroma
